id,slug,title,country,ancestry,lat,lon,source,confidence,wikidata_id,notes,llm_lat,llm_lon,llm_confidence,llm_notes,llm_excluded
50,kidron-valley-tombs,Kidron Valley Tombs,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.8123,34.8003,wikidata,low,Q588697,matched 'Kidron' (human settlement in Israel) — country match,31.776300,34.811900,high,"The description explicitly identifies three named Second Temple period tombs (Absalom, Sons of Hezir, Zechariah) on the eastern side of Kidron Valley carved in limestone, which are well-documented arc",
51,jasons-tomb,Jason's Tomb,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.77313333,35.21313333,wikidata,low,Q2906579,"matched 'Jason's Tomb' (tomb in Jerusalem, Israel) — country match",31.773133,35.213133,medium,"Jason's Tomb is a well-documented Hellenistic monument in Jerusalem's Rechavia neighborhood; the existing candidate coordinates align with the known archaeological site location, though precision with",
52,western-wall-excavations,Western Wall Excavations,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,32.908004,35.2882554,nominatim,low,,"matched 'שדרות נשיאי ישראל, כרמיאל, הדרומית, רמת רבין, כרמיאל, נפת עכו, מחוז הצפון, 2195106, ישראל'",31.737300,35.235300,high,"Description explicitly references excavations along the southern portion of the western wall of the Temple Mount, mentioning Robinson's Arch, Benjamin Mazar's work, and Roman destruction debris—all we",
54,southern-wall-excavations,Southern Wall Excavations,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,30.6823334,34.8824229,nominatim,low,,"matched 'מחוז הדרום, ישראל'",31.737400,35.235700,high,"Description explicitly refers to excavations south of the Temple Mount (Haram esh-Sharif) in Jerusalem, with specific mention of southwestern corner; this is the well-documented Mazar excavation site.",
55,assos-citadel-temple-of-athena-harbor,"Assos: Citadel, Temple of Athena, Harbor",Turkey,Northern Aegean / Western Turkey / Turkey / Browse by Countries,39.490556,26.336667,wikidata,high,Q744631,matched 'Assos' (ancient city of Troas in modern-day Turkey) — archaeological/historic class; country match,,,,,
56,derbe,Derbe,Turkey,South Central Turkey 11 folders / Central Turkey / Turkey / Browse by Countries,37.348569,33.361453,wikidata,high,Q20717624,matched 'Derbe' (ancient city) — archaeological/historic class; country match,,,,,
57,lystra,Lystra,Turkey,South Central Turkey 11 folders / Central Turkey / Turkey / Browse by Countries,37.664119444444,32.210711111111,wikidata,high,Q535982,"matched 'Lystra' (historic settlement in Konya, Turkey) — archaeological/historic class; country match",,,,,
58,iconium-konya,Iconium (Konya),Turkey,South Central Turkey 11 folders / Central Turkey / Turkey / Browse by Countries,37.871944444444445,32.492222222222225,wikidata,high,Q132559332,matched 'Iconium' (The city of Konya before and in Roman times) — archaeological/historic class; country match,,,,,
59,perga-main-street-excavations,Perga Main Street Excavations,Turkey,Mediterranean Coast / Central Turkey / Turkey / Browse by Countries,39.116667,27.183333,wikidata,high,Q18986,matched 'Pergamon' (ancient city of Ionia in modern-day Turkey and UNESCO World Heritage Site) — archaeological/historic class; country match,,,,,
60,pisidian-antioch,Pisidian Antioch,Turkey,South Central Turkey 11 folders / Central Turkey / Turkey / Browse by Countries,38.306111111111,31.189166666667,wikidata,high,Q579468,"matched 'Antioch of Pisidia' (ancient city of Pisidia, in modern-day Turkey) — archaeological/historic class; country match",,,,,
61,aspendos,Aspendos,Turkey,Mediterranean Coast / Central Turkey / Turkey / Browse by Countries,36.93889,31.17222,wikidata,high,Q633757,matched 'Aspendos' (ancient Greco-Roman city in Antalya province of Turkey) — archaeological/historic class; country match,,,,,
62,colossae,Colossae,Turkey,Central & Southern Aegean / Western Turkey / Turkey / Browse by Countries,37.83583333333333,29.1075,wikidata,high,Q1001370,matched 'Colossae' (ancient city of Phrygia in modern-day Turkey) — archaeological/historic class; country match,,,,,
63,megiddo-bronze-age,Megiddo (Bronze Age),Israel,Jezreel Valley (5 folders) / North / Israel / Browse by Countries,32.585277777777776,35.184444444444445,wikidata,high,Q208379,matched 'Tel Megiddo' (site of an ancient city in northern Israel's Jezreel valley) — archaeological/historic class; country match,,,,,
64,arad-early-bronze,Arad (Early Bronze),Israel,Biblical Negev / South / Israel / Browse by Countries,31.260277777778,35.214722222222,wikidata,medium,Q152473,matched 'Arad' (city in Israel) — place class; country match,31.916700,35.416700,high,"Description specifies Arad is 30 km east-northeast of Beersheba; this matches the known archaeological site of Arad in the Negev, with coordinates placing it correctly in that region relative to Beers",
65,alexandria-troas-harbor-and-structures,Alexandria Troas: Harbor and Structures,Turkey,Northern Aegean / Western Turkey / Turkey / Browse by Countries,39.75194444,26.15861111,wikidata,high,Q1393407,matched 'Alexandria Troas' (ancient city of Troas in modern-day Turkey) — archaeological/historic class; country match,,,,,
66,euphrates-river,Euphrates River,Turkey,Eastern Turkey / Turkey / Browse by Countries,39.7283,40.2569,wikidata,medium,Q34589,matched 'Euphrates' (river in Asia) — place class; country match,36.816700,38.066700,medium,Description specifies Euphrates River near and north of Carchemish; using Carchemish location (Turkish side) as the primary reference point mentioned in the description.,
67,haran,Haran,Turkey,Eastern Turkey / Turkey / Browse by Countries,36.85,39.2167,wikidata,high,Q3660711,matched 'Haran' (major ancient city in Upper Mesopotamia) — archaeological/historic class; country match,,,,,
68,sanliurfa,Sanliurfa,Turkey,Eastern Turkey / Turkey / Browse by Countries,37.158333333333,38.791666666667,wikidata,medium,Q133118,matched 'Şanlıurfa' (city in Turkey) — place class; country match,37.158333,38.791667,high,The description clearly identifies Sanliurfa as a city in eastern Turkey 34 mi north of the Syrian border; the existing Wikidata candidate coordinates match this major city precisely.,
69,tarsus,Tarsus,Turkey,Mediterranean Coast / Central Turkey / Turkey / Browse by Countries,36.916666666667,34.9,wikidata,medium,Q134287,"matched 'Tarsus' (district and town in Mersin, Turkey) — place class; country match",36.916667,34.900000,high,"Tarsus is a well-documented ancient city in Mersin, Turkey; the existing candidate coordinates match the modern city location, which aligns with the description of a Mediterranean coastal city inland ",
70,cilician-gates-10-images,Cilician Gates (10 images),Turkey,Mediterranean Coast / Central Turkey / Turkey / Browse by Countries,37.28527777777778,34.78611111111111,wikidata,low,Q128884,matched 'Cilician Gates' (mountain pass in southern Turkey) — country match,37.285278,34.786111,high,"The description precisely identifies the Cilician Gates as a pass in the Taurus mountains north of Tarsus (44 km via ancient roads), matching the wikidata candidate location which represents this hist",
71,gates-of-the-old-city,Gates Of the Old City,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,32.7859905,35.5383388,nominatim,low,,"matched 'Bridge 2Peace Gates, השילוח, הרמב""ם, טבריה, נפת כנרת, מחוז הצפון, 1424224, ישראל'",,,excluded,"Description refers to multiple gates and walls of Jerusalem's Old City (a collection of features, not a single point), built by Suleiman the Magnificent by 1541—the famous Ottoman walls that still sta",not_a_single_point
72,midras-rolling-stone-tomb,Midras (Rolling Stone Tomb),Israel,Shephelah / Central / Israel / Browse by Countries,31.6559382,34.9374688,nominatim,low,,"matched 'חורבת מדרס, 3544, צפרירים, מועצה אזורית מטה יהודה, נפת ירושלים, מחוז ירושלים, 9920828, ישראל'",31.655938,34.937469,medium,"The existing candidate coordinates match the Nominatim result for Horvat Midras in the Shephelah, 30 km SW of Jerusalem; the description confirms the site's general location and archaeological signifi",
73,golanbashan-views,Golan/Bashan Views,Israel,Golan (4 folders) / North / Israel / Browse by Countries,33.0,35.75,wikidata,low,Q83210,matched 'Golan Heights' (A liberated mountainous region in Israel) — country match,,,excluded,Description refers to a general region (Golan/Bashan area) with overview information about rainfall and water sources rather than a specific site location.,not_a_single_point
75,sowers-cove,Sower's Cove,Israel,Sea of Galilee 19 folders / North / Israel / Browse by Countries,,,,none,,no match,32.883700,35.409700,high,"Description explicitly places it 1 km west of Capernaum on the north shore of the Sea of Galilee; Capernaum is at approximately 32.8833, 35.4203, so 1 km west positions it at the stated coordinates.",
77,dan,Dan,Israel,Huleh Valley / North / Israel / Browse by Countries,33.2400913,35.6530878,nominatim,low,,"matched 'דן, מועצה אזורית גליל עליון, נפת צפת, מחוז הצפון, ישראל'",33.240100,35.653100,high,"Dan is a famous biblical site in northern Israel near Jordan River springs; the existing candidate coordinates match the archaeological site location in the Huleh Valley, confirmed by textual descript",
78,didyma,Didyma,Turkey,Central & Southern Aegean / Western Turkey / Turkey / Browse by Countries,37.385,27.25638889,wikidata,high,Q671358,matched 'Didyma' (human settlement and ancient sanctuary) — archaeological/historic class; country match,,,,,
79,aegina,Aegina,Greece,Greek Islands / Greece / Browse by Countries,37.74667,23.4275,wikidata,medium,Q3720429,matched 'Aegina' (town on the homonymous island in Greece) — place class; country match,37.760800,23.426900,high,"The description clearly identifies Aegina as an island in the Saronic Gulf west of Piraeus/Athens, and the existing candidate coordinates align with the main town/harbor area of the island, which is t",
80,euromos-temple-of-zeus,Euromos (Temple of Zeus),Turkey,Central & Southern Aegean / Western Turkey / Turkey / Browse by Countries,37.37416667,27.675,wikidata,high,Q1375099,matched 'Euromus' (ancient city of Caria in modern-day Turkey) — archaeological/historic class; country match,,,,,
81,philadelphia,Philadelphia,Turkey,Northern Aegean / Western Turkey / Turkey / Browse by Countries,38.35,28.516666666667,wikidata,medium,Q138280,"matched 'Alaşehir' (district and town in Manisa, Turkey) — place class; country match",38.350000,28.516667,high,"Philadelphia is identified as modern Alaşehir in western Turkey, approximately 80 miles east of Smyrna/Izmir, with the existing candidate coordinates matching this known historical location precisely.",
82,thyatira,Thyatira,Turkey,Northern Aegean / Western Turkey / Turkey / Browse by Countries,38.9208333333,27.8416666667,wikidata,high,Q1135603,matched 'Thyatira' (ancient city of Caria in modern-day Turkey) — archaeological/historic class; country match,,,,,
83,sardis-synagoge-gymnasium,Sardis Synagoge Gymnasium,Turkey,Northern Aegean / Western Turkey / Turkey / Browse by Countries,38.488333,28.040278,wikidata,high,Q232615,"matched 'Sardis' (ancient city in Anatolia, today an archaeological site at Sart, Turkey) — archaeological/historic class; country match",,,,,
84,antalya-museum,Antalya Museum,Turkey,Mediterranean Coast / Central Turkey / Turkey / Browse by Countries,36.90812,30.69556,wikidata,medium,Q6487,matched 'Antalya' (city in Turkey) — place class; country match,36.908120,30.695560,high,"The Antalya Museum is a well-documented institution in Antalya, Turkey, housing artifacts including those from Perge; the existing candidate coordinates are reliable for this known museum location.",
86,hebron,Hebron,Israel,Hill Country of Judah / Central / Israel / Browse by Countries,31.535,35.098611111111,wikidata,medium,Q168225,matched 'Hebron' (Palestian city in the occupied West Bank) — place class; country match,31.535000,35.098611,high,"The description provides multiple confirmatory anchors: 20 mi. southwest of Jerusalem, city of ~125,000 people, Tomb of the Patriarchs (Haram el-Khalil), excavations at Jebel er-Rumeideh, and historic",
87,dhahr-mirzbaneh-ein-samiya,Dhahr Mirzbaneh (Ein Samiya),Israel,Hill Country of Ephraim / Central / Israel / Browse by Countries,,,,none,,no match,31.995000,35.245000,medium,"Location is described as slightly east of Ein Samiya, approximately 25.5 km northeast of Jerusalem in the Hill Country of Ephraim; coordinates place it in the correct region with appropriate offset fr",
88,et-tell-ai,et-Tell (Ai?),Israel,Hill Country of Benjamin / Central / Israel / Browse by Countries,32.90995,35.63053611,wikidata,high,Q501773,matched 'Bethsaida' (archaeological site) — archaeological/historic class; country match,,,,,
89,ephesus-lower-city,Ephesus Lower City,Turkey,Central & Southern Aegean / Western Turkey / Turkey / Browse by Countries,37.939722,27.348611,wikidata,high,Q47611,matched 'Ephesus' (ancient Greek city in Anatolia) — archaeological/historic class; country match,,,,,
90,artemis-room,Artemis Room,Turkey,Ephesus Museum 4 Folders / Central & Southern Aegean / Western Turkey / Turkey / Browse by Countries,37.9497968,27.3636333,nominatim,low,,"matched 'Artemis Tapinagi, Atatürk Mahallesi, Selçuk, İzmir, Ege Bölgesi, 35920, Türkiye'",37.949797,27.363633,high,"The Artemis Room is explicitly stated to be housed in the museum in nearby Seljuk, and the candidate coordinates match the Ephesus Museum (Artemis Tapinagi) in Seljuk, Turkey.",
91,silwan-ot-tombs,Silwan OT Tombs,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.77,35.237,wikidata,medium,Q2448062,matched 'Silwan' (neighborhood in East Jerusalem) — place class; country match,31.770700,35.238800,high,"Description precisely locates Silwan as southeast of Old City wall, east of City of David, above Kidron Valley; the First Temple Tombs (8th-7th century BC) are the primary archaeological feature of th",
92,wilderness-of-judah-views,Wilderness of Judah Views,Israel,Wilderness of Judah / Central / Israel / Browse by Countries,,,,none,,no match,,,excluded,The Wilderness of Judah is a large geographic region (approximately 96 km long and 16 km wide) rather than a single point location; it is a panoramic/overview area east of Hebron and Jerusalem.,not_a_single_point
93,city-of-david-views-to,"City of David, Views TO",Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,32.0549517,34.7520118,nominatim,low,,"matched 'Embassy of the Holy See (Vatican), 1, נתיב המזלות, תל־אביב–יפו, יפו, תל־אביב–יפו, נפת תל אביב, מחוז תל אביב, 6803608, יש'",31.773500,35.235300,high,"City of David is a well-known archaeological site in Jerusalem's southeast corner, bounded by Kidron Valley (east) and Central Valley (west), near Gihon Spring; coordinates place it in the correct loc",
94,tombs-ot-first-temple,Tombs OT (First Temple),Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.778055555555554,35.235,wikidata,low,Q223644,matched 'Solomon's Temple' (Holy temple in ancient Jerusalem before its destruction by Nebuchadnezzar II) — country match,,,excluded,Description refers to a necropolis surrounding Old Testament Jerusalem rather than a single tomb site; the Ecole Biblique tombs are mentioned as one example but no specific location is identified.,not_a_single_point
95,corinth-artifacts,Corinth Artifacts,Greece,Peloponnese / Greece South / Greece / Browse by Countries,37.905785,22.878741,wikidata,high,Q1363688,matched 'Ancient Corinth' (city-state in ancient Greece) — archaeological/historic class; country match,,,,,
96,pisidian-antioch-artifacts,Pisidian Antioch Artifacts,Turkey,South Central Turkey 11 folders / Central Turkey / Turkey / Browse by Countries,38.306111111111,31.189166666667,wikidata,high,Q579468,"matched 'Antioch of Pisidia' (ancient city of Pisidia, in modern-day Turkey) — archaeological/historic class; country match",,,,,
97,hezekiahs-tunnel,Hezekiah's Tunnel,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.772358,35.235673,wikidata,high,Q1620682,matched 'Hezekiah's Tunnel' (Ancient underground water tunnel in Jerusalem) — archaeological/historic class; country match,,,,,
98,hinnom-valley-ot-tombs,Hinnom Valley OT Tombs,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.76916667,35.22805556,wikidata,low,Q558093,matched 'Gehenna' (small valley located in Jerusalem) — country match,31.768500,35.227500,high,Description precisely locates tombs east of St. Andrew's Scots Presbyterian Church below its parking lot on the west side of Hinnom Valley; Ketef Hinnom is a well-documented archaeological site where ,
99,warrens-shaft,Warren's Shaft,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.7731,35.2361,wikidata,high,Q3655064,matched 'Warren's Shaft' (archaeological site in Israel) — archaeological/historic class; country match,,,,,
100,arad-citadel,Arad (Citadel),Israel,Biblical Negev / South / Israel / Browse by Countries,31.260277777778,35.214722222222,wikidata,medium,Q152473,matched 'Arad' (city in Israel) — place class; country match,31.260300,35.214700,high,"The description precisely locates Arad 30 km east-northeast of Beersheba in the Negev, and the existing Wikidata candidate coordinates match this well-known Iron Age citadel site.",
101,tomb-of-grapes,Tomb of Grapes,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.7804333,35.2396471,nominatim,low,,"matched 'قبر السيدة العذراء مريم, יריחו, העיר העתיקה, ירושלים | القدس, נפת ירושלים, מחוז ירושלים, 9119001, ישראל'",31.791500,35.228600,medium,"Description places tomb 1.6 mi (2.5 km) north-northwest of Old City; calculated position from Old City center (31.7769, 35.2345) in that direction, though exact park location in northern Jerusalem res",
102,lower-jordan-river-3-images,Lower Jordan River (3 images),Israel,Jordan Valley / Central / Israel / Browse by Countries,31.79279,35.168506,nominatim,low,,"matched 'מוצא, נפת ירושלים, מחוז ירושלים, ישראל'",,,excluded,"This describes a 65-mile stretch of river from Sea of Galilee to Dead Sea, not a single point location.",not_a_single_point
103,hazor,Hazor,Israel,Huleh Valley / North / Israel / Browse by Countries,33.0076,35.594,wikidata,high,Q8049270,"matched 'Khirbet, Yarda' (archaeological site in the Upper Galilee, Israel) — archaeological/historic class; country match",,,,,
104,bethlehem-church-of-the-nativity,Bethlehem Church of the Nativity,Israel,Hill Country of Judah / Central / Israel / Browse by Countries,31.7591802,35.221899,nominatim,low,,"matched 'בית לחם, מחנה אלנבי, בקעה, ירושלים | القدس, נפת ירושלים, מחוז ירושלים, 9347102, ישראל'",31.945400,35.202900,high,"Church of the Nativity in Bethlehem is a famous singular site; coordinates match the traditional location in Bethlehem town center, approximately 8 km south-southwest of Jerusalem as described.",
105,galilee-jesus-boat,Galilee (Jesus) Boat,Israel,Sea of Galilee 19 folders / North / Israel / Browse by Countries,32.8008444,35.5889732,nominatim,low,,"matched 'ימת הכנרת, נפת כנרת, מחוז הצפון, ישראל'",32.811600,35.540800,high,"The description explicitly states the boat is displayed at the Yigal Allon Center on the grounds of Kibbutz Ginosar on the northwestern shore of the Sea of Galilee, which is a well-documented museum l",
106,smyrnaizmir,Smyrna/Izmir,Turkey,Central & Southern Aegean / Western Turkey / Turkey / Browse by Countries,38.41861111111111,27.142836111111112,wikidata,high,Q1379299,"matched 'Smyrna' (ancient Greek city, located in present day İzmir, Turkey) — archaeological/historic class; country match",,,,,
107,laodicea,Laodicea,Turkey,Central & Southern Aegean / Western Turkey / Turkey / Browse by Countries,37.835833333333,29.1075,wikidata,high,Q849709,matched 'Laodicea on the Lycus' (ancient city of Phrygia in modern-day Turkey) — archaeological/historic class; country match,,,,,
108,smyrna-artifacts,Smyrna Artifacts,Turkey,Central & Southern Aegean / Western Turkey / Turkey / Browse by Countries,38.41861111111111,27.142836111111112,wikidata,high,Q1379299,"matched 'Smyrna' (ancient Greek city, located in present day İzmir, Turkey) — archaeological/historic class; country match",,,,,
109,pergamum-asclepion,Pergamum: Asclepion,Turkey,Northern Aegean / Western Turkey / Turkey / Browse by Countries,39.116667,27.183333,wikidata,high,Q18986,matched 'Pergamon' (ancient city of Ionia in modern-day Turkey and UNESCO World Heritage Site) — archaeological/historic class; country match,,,,,
110,pergamum-bergama-artifacts,Pergamum: (Bergama) Artifacts,Turkey,Northern Aegean / Western Turkey / Turkey / Browse by Countries,39.116667,27.183333,wikidata,high,Q18986,matched 'Pergamon' (ancient city of Ionia in modern-day Turkey and UNESCO World Heritage Site) — archaeological/historic class; country match,,,,,
111,pergamum-acropolis,Pergamum: Acropolis,Turkey,Northern Aegean / Western Turkey / Turkey / Browse by Countries,39.116667,27.183333,wikidata,high,Q18986,matched 'Pergamon' (ancient city of Ionia in modern-day Turkey and UNESCO World Heritage Site) — archaeological/historic class; country match,,,,,
112,pergamum-lower-level-and-red-basilica,Pergamum: Lower Level and Red Basilica,Turkey,Northern Aegean / Western Turkey / Turkey / Browse by Countries,39.116667,27.183333,wikidata,high,Q18986,matched 'Pergamon' (ancient city of Ionia in modern-day Turkey and UNESCO World Heritage Site) — archaeological/historic class; country match,,,,,
113,beersheba-beer-sheva,Beersheba (Beer Sheva),Israel,Biblical Negev / South / Israel / Browse by Countries,32.931111,35.4175,wikidata,high,Q55030963,matched 'Bersabe' (Roman-era ruin between Upper and Lower Galilee) — archaeological/historic class; country match,,,,,
114,via-dolorosa,Via Dolorosa,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.7801034,35.2323927,nominatim,low,,"matched 'ויה דולורוזה, הרובע המוסלמי, העיר העתיקה, ירושלים | القدس, נפת ירושלים, מחוז ירושלים, 9119001, ישראל'",31.777300,35.234700,high,"The Via Dolorosa is a well-established processional route in Jerusalem's Old City, starting near the Lion's Gate and ending at the Church of the Holy Sepulchre; coordinates represent the approximate s",
115,miletus-balat,Miletus (Balat),Turkey,Central & Southern Aegean / Western Turkey / Turkey / Browse by Countries,37.531111,27.275556,wikidata,high,Q169460,"matched 'Miletus' (ancient city of Ionia, in modern-day Turkey) — archaeological/historic class; country match",,,,,
116,berea-verria,Berea (Verria),Greece,Greece North / Greece / Browse by Countries,40.5258,22.2046,wikidata,high,Q15712213,matched 'Berroea' (ancient city and archaeological site in Macedonia) — archaeological/historic class; country match,,,,,
118,tumuli,Tumuli,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,,,,none,,no match,,,excluded,"The description refers to multiple tumuli (19-20 mounds) scattered across western Jerusalem rather than a single specific location, making it impossible to assign precise coordinates to one point.",not_a_single_point
119,neapolis-kavala,Neapolis (Kavala),Greece,Greece North / Greece / Browse by Countries,40.93959,24.40687,wikidata,medium,Q187352,"matched 'Q187352' (city in northern Greece, the principal seaport of eastern Macedonia and the capital of Kavala regional unit) — place class; country match",40.939590,24.406870,high,"Modern Kavala is the direct successor to ancient Neapolis, the Aegean seaport near Philippi where Paul landed; the existing candidate matches the modern city location.",
121,acropolis-museum,Acropolis Museum,Greece,Acropolis (7 folders) / Athens (11 folders) / Greece South / Greece / Browse by Countries,37.971666666666664,23.726111111111113,wikidata,high,Q131013,matched 'Acropolis of Athens' (ancient citadel above the city of Athens) — archaeological/historic class; country match,,,,,
122,gezer,Gezer,Israel,Shephelah / Central / Israel / Browse by Countries,31.859872,34.919644,wikidata,high,Q1466687,matched 'Gezer' (archaeological site in the foothills of the Judaean Mountains) — archaeological/historic class; country match,,,,,
123,greek-classical-agora,Greek (Classical) Agora,Greece,Athens (11 folders) / Greece South / Greece / Browse by Countries,40.4743573,25.5261738,nominatim,low,,"matched 'Goat Shop, Πλατια Αθανασιος Βαφειδης, Σαμοθράκη (Χώρα), Δήμος Σαμοθράκης, Περιφερειακή Ενότητα Έβρου, Περιφέρεια Ανατολι'",37.973600,23.726800,high,"The description explicitly identifies this as the ancient Greek agora of Athens located northwest of the Acropolis, a famous archaeological site with well-documented coordinates.",
124,via-egnatia,Via Egnatia,Greece,Greece North / Greece / Browse by Countries,37.9786153,23.7550018,nominatim,low,,"matched 'Via, 22, Παπαδιαμαντοπούλου, Iλίσια, 1η Κοινότητα Αθηνών, Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθ'",,,excluded,"Via Egnatia is an ancient Roman road spanning multiple countries (Albania, Greece, Turkey) with multiple significant sites along its route; it cannot be represented as a single point location.",not_a_single_point
125,amphipolis,Amphipolis,Greece,Greece North / Greece / Browse by Countries,40.839444444444,23.862777777778,wikidata,high,Q18010006,"matched 'Kasta tomb' (ancient Macedonian tomb in Amfipoli, Macedonia, Greece) — archaeological/historic class; country match",,,,,
126,megiddo-israelite,Megiddo (Israelite),Israel,Jezreel Valley (5 folders) / North / Israel / Browse by Countries,32.585277777777776,35.184444444444445,wikidata,high,Q208379,matched 'Tel Megiddo' (site of an ancient city in northern Israel's Jezreel valley) — archaeological/historic class; country match,,,,,
127,athens-roman-forum-area,Athens Roman Forum Area,Greece,Athens (11 folders) / Greece South / Greece / Browse by Countries,37.97222222222222,23.72222222222222,wikidata,high,Q844930,matched 'Classical Athens' (city-state in ancient Greece) — archaeological/historic class; country match,,,,,
128,modern-athens,Modern Athens,Greece,Athens (11 folders) / Greece South / Greece / Browse by Countries,37.9867707,23.7586409,nominatim,low,,"matched 'Modern, 194, Αλεξάνδρας, Κουντουριώτικα, Αμπελόκηποι, 7η Κοινότητα Αθηνών, Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κ'",,,excluded,"The description refers to a collection of images spanning modern Athens from the 19th century to present, representing multiple locations rather than a single point.",not_a_single_point
129,nemea-stadium,Nemea Stadium,Greece,Nemea (3 folders) / Peloponnese / Greece South / Greece / Browse by Countries,37.808962,22.710279,wikidata,high,Q748108,"matched 'Nemea' (ancient sanctuary of Zeus in Corinthia, Greece) — archaeological/historic class; country match",,,,,
