stw_ID,stw_Image_ID,stw_Section_ID,stw_Section_Name,stw_DateAdded,stw_Text,stw_isCurrent,stw_Images
57,ICHJHR14,38,Herodium,,"<p align=""left"" class=""Blue"">The Herodium is located 7.5 miles south of Jerusalem. It is about 3.5 miles southeast of Bethlehem.</p>
<p>According to Josephus, a Jewish historian,&nbsp;it served as a palace/fortress for Herod the Great.&nbsp; Herod was buried here in 4 B.C.&nbsp; Later&nbsp;the Herodium&nbsp;served as a base for Jewish rebels during the first (A.D. 66-70) and second (A.D. 132-135) revolts against the Romans.</p>",False,"ICHJHRHH02, ICHJHR08, ICHJHR10"
58,GCTCDLCT01,261,Charioteer,,<p>The &ldquo;charioteer&rdquo; is a life size statue in bronze that was cast about 475 B.C.&nbsp; It was discovered in 1896 near the Temple of Apollo in Delphi Greece.&nbsp; Usually bronze statues such as this were melted down and recycled after they had,False,"GCTCDLCT01, GCTCDLCT02"
59,GIDDPTVS04,369,Views of Island of Patmos,,"<p>Patmos is a Greek island in the Dodecanese group, located about 40 mi. west of the western coast of Turkey.</p>
<p>It was here that John was exiled received the revelation that he wrote about in the New Testament book of Revelation (Rev 1:9). <br /></p>",False,"GIDDPTVS76, GIDDPTVS60, GIDDPTVS07"
60,TWTQMYCH05,188,St. Nicholas Church,,"<p>
	The real(!) home of Santa Claus is in southern TURKEY!&nbsp;&nbsp; Until recently the town was called Kale, but in ancient times Myra.&nbsp; In the town is a church that is associated with Saint Nicholas&mdash;Father Christmas, a.k.a. in northern Europe as Santa Claus!</p>
<p>
	St. Nicholas was born in nearby Patara about A.D. 300 and served as the bishop of Myra later in his life.&nbsp; A number of miracles are attributed to this revered bishop, including his providing a dowry to the three daughters of a local baker.&nbsp; Thus he is associated with &ldquo;gift giving!&rdquo;&nbsp; He was also the patron saint of sailors and was prayed to for protection at sea.</p>
",False,"TWTQMYCH22, TWTQMYCH05, TWTQMYCH20"
61,GISGEG03,79,Aegina,,"<p>The island of Aegina is located in center of the Saronic Gulf about 18.5 mi. [30 km.] west of Piraeus &mdash; the port of Athens.<br /><br />From the seventh through the fifth centuries B.C. its potters, sculptors, and bronze workers were very famous. ",False,"GISGEG03, GISGEG07, GISGEG06"
62,IJNTVD02,114,Via Dolorosa,,"<p>The &quot;Via Dolorosa&quot; means the &quot;way of sorrows&quot; or it is sometimes called the &quot;way of the cross.&quot; It refers to a pilgrim route that begins near the <a href=""go.asp?img=IJNTGW02&amp;SiteID=64"" target=""_blank"">Lion&rsquo;s Gate.</a></p>
",False,"IJNTVD057, IJNTVD056, IJNTVD058, IJNTVDS053"
63,GCTH02,416,Thermopylae,,"<p>
	Thermopylae is located 85 mi. [135 km.] northwest of Athens.&nbsp;&nbsp;There 300 Spartans and 700 Thespians led by Leonidas held off about 300,000 invading Persians&nbsp; in 480 B.C.<br />
	<br />
	The Spartans and Thespians fought valiantly, but eventually all, save two, were killed.</p>
",False,"GCTH21, GCTH13, GCTH02, GCTH24"
64,ICHJHRHT01,418,Herodium - Herod's Tomb,,"<p>On 8 May 2007 the Hebrew University announced that Ehud Netzer had discovered the long sought tomb of Herod the Great at the Herodium that is located 7.5 mi. [12 km.] south of Jerusalem.<br />
<br />
According to the Jewish historian Josephus, Herod the Great was buried here: <em>Wars</em>. 1.33.9 [670-673], <em>Ant</em>. 17.8.3 [196-199].</p>
",False,"ICHJHRHT31, ICHJHRHT66"
65,GSPLCO06,239,Corinth Site,,"<p>The Greek city of Corinth had been (partially) destroyed by the Romans in 146 B.C., but the rebuilding process, as a Roman city, had begun by 44 B.C. In Paul&#39;s day, there may have been 200,000 people living there.</p>

<p>The&nbsp; apostle Paul spent 18 months here on his &quot;Second Journey.&quot;</p>
",False,"GSPLCONW01, GSPLCO06, GSPLCO55"
66,DLCWHS01,417,Transition Seasons (Hamsin),,"<p>In Israel the period from early May to mid&ndash;June and October are transition seasons from the wet winter to the dry summer and from dry back to wet winter.&nbsp;<br />
At times the wind blows in from the desert, rather than from the Mediterranean Sea (from the west), and at those times the humidity drops drastically and the air is filled with a fine dust that permeates everything.</p>
",False,"DLCWHS05, DLCWHS06, DLCWHS01, DLCWHS02"
67,TWTQXN06,190,Xanthos,,"<p>Xanthos is an ancient Lycian city located on a ridge 7.5 mi. inland from the Mediterranean Sea. It was the chief city of Lycia and prospered under Roman Rule&nbsp; as the leading city of Lycia in the Roman Province of Asia.</p>
<p>Xanthos is a well&ndash;preserved site, with Lycian, Hellenistic, Roman, and Byzantine remains&mdash;this in spite of the fact in the mid 19th century Charles Fellows removed many of the most prominent artifacts to England.&nbsp; They are now housed in the British Museum.</p>",False,"TWTQXN07, TWTQXN02, TWTQXN05"
68,ICHJRR02,395,Ramat Rachel,,"<p>Ramat Rachel is a 6-acre site that is located 2.5 mi. south of Jerusalem&mdash;half way to Bethlehem.&nbsp; It is a prominent site from which one can view Jerusalem to the north and <a href=""go.asp?s=104"" target=""_blank"">Bethlehem</a> to the south.<br ",False,"ICHJRR01, IMG_0766, ICHJRR06"
69,TEEETND20,255,Nemrut Dagi,,"<p>The mountain of Nemrut Dagi (in Turkey)&nbsp; has been well&ndash;designated as a &ldquo;World Heritage&rdquo; site by UNESCO.&nbsp; The mountain is 7,050 ft. [2,150 m.] high and is crowned by the worship center and burial tumulus of the Commagene king Antiochus I Epiphanes.<br /></p>",False,"PSTAFF15, TEEETND11, TEEETND15, TEEETND33"
71,TWCSEU11,80,Euromos (Temple of Zeus),,"<p>Euromos is located in southwestern Turkey.&nbsp; The most prominent remain is the very well preserved Temple of Zeus which may have been constructed during the reign of Hadrian (A.D. 117-138).</p>
<p>The infrequently visited site is situated in an olive grove just off the main highway. This may be the best preserved of all of the temples in Turkey with 16 of its original columns still standing.</p>
<p>For information on the possible relationship of this building with Revelation 3:12 <a href=""go.asp?img=TWCSEU02&amp;SiteID=73"">Click Here</a>.</p>",False,"TWCSEU01, TWCSEUO10, TWCSEU11"
72,ISRVTMTP14,428,Temple,,"At the foot of a sandstone rock scarp, Rothenberg discovered the foundations of a temple that had been use by the Egyptians (worshiping Hathor) and afterward by the Midianites.&nbsp; During its Midianite phase (ca. 1150&ndash;1050) it was evidently covere",False,
74,IJNTHSCL31,323,Calvary,,"<p>The Church of the Holy Sepulcher, called the Church of the Resurrection by the Greek Orthodox, is the most sacred space in Christendom.</p>
<p>This area was venerated by Christians in the first century A.D. However, the Roman emperor Hadrian (A.D. 117&ndash;138) turned it into a place of pagan worship. </p>
<p>This area was &quot;rediscovered&quot; and cleared when Constantine's mother, Helena, visited Jerusalem in A.D. 326. By A.D. 335 a Christian Church was built over the area.<br /></p>",False,"IJNTHSCL31, IJNTHSCL33, IJNTHS60"
75,IJNTGT01,46,Garden Tomb,,"<p>This tomb was discovered in 1867, at which time it was proposed that this was the burial place of Jesus, mainly because of its nearness to &quot;<a href=""browse.asp?SiteID=31&amp;ImageID=IJNTGT02"">Gordon's Calvary</a>&quot;.&nbsp; Since that time, some Protestant piety has encouraged this identification, although the wardens of the property (The Garden Tomb Association) stress that it is the resurrection of Jesus, not the issue of finding the exact spot of his burial, that is important.</p>
<p>Inside of the tomb are the partial remains of a burial bench.<br /> </p>
<p>&nbsp;</p>",False,"IJNTGTGT01, IJNTGT08, IJNTGT02, IJNTGTGC01"
76,IJNTGE05,42,Gethsemane,,"<p align=""left"">The Garden of Gethsemane is located east of the Temple Mount, and east of the Kidron Valley, on the lower portion of the western slope of the Mount of Olives.</p>
<p>After his final meal with his disciples, Jesus retired to this garden to pray (Matt 26:30-56; Mark 14:26-52; Luke 22:39-53; John 18:1-12). It was here that the disciples slept while Jesus prayed and it is here that he was captured and led away to be crucified.</p>",False,"IJNTGE02, IJNTGE05, IJNTGE10, IJNTGE04"
77,ISBNBS12,113,Beersheba (Beer Sheva),,"<p>Beersheba was the administrative capital of the Negev region during the Iron Age. <br /> </p>
<p>The area of Beersheba is mentioned in association with Abraham, Isaac and Jacob. Beersheba was allotted to the tribes of Judah and Simeon (Josh 15:15:28; 19:2). From the period of David onward,&nbsp;Beersheba served as a southern outpost for the Judean kings. Indeed, the ideal boundaries of the land of Israel were &quot;from&nbsp;<a href=""browse.asp?SiteID=70"" target=""_blank"">Dan</a> [in the north] to Beersheba [in the south].&quot; Beersheba is mentioned 34 times in the Bible.</p>",False,"ISBNBS01, ISBNBSHR52, ISBNBSHR51, ISBNBS04"
79,IJNTPS03,360,Pool of Siloam,,"<p>In the summer of 2004 Eli Shukrun, Ronny Reich,&nbsp;and John Seligman, who were checking the area southeast of the traditional &ldquo;Pool of Siloam&rdquo; for a public works project, discovered a pool that they date to the first centuries B.C. and A.D.&nbsp; In all probability it is the &ldquo;Pool of Siloam&rdquo; mentioned in John 9:7&mdash;to which Jesus sent a blind man to wash a mud mixture from his eyes.<br /> </p>
<p>This pool is also mentioned in Rabbinic sources in connection with the water rituals associated with the Feast of Tabernacles&mdash; in the fall of the year.</p>",False,"IJNTPS25, IJNTPS02, IJNTPS04, IJNTPS08"
80,YRMNK08,271,Nike Exhibit,,"<p>During 2003&ndash;2004&nbsp;seventy objects related to the history of competitive sport in the ancient world&nbsp;were on display in the Colosseum in Rome. The display&nbsp;was called &ldquo;Nike. Il gioco e la vittoria&rdquo;&nbsp;&nbsp; (Nike, joy and victory)&mdash;it had nothing to do with the shoe company!&nbsp; The following are images from that display.</p>",False,"YRMNK10, YRMNK08, YRMNK04, YRMNK18"
82,TWTQPTLH02,429,Patara Lighthouse,,"<p>A mysterious structure located on the northern edge of the beach and on the western edge of the now <a target=""_blank"" href=""go.asp?img=TWTQPT10"">silted harbor</a> of Patara has been under excavation.&nbsp; This structure has been called a &ldquo;Lighthouse.&rdquo;&nbsp; It is dated to about A.D. 60.<br /></p>
<p>It is claimed by some that this is the '<span style=""font-weight: bold;"">oldest <span style=""text-decoration: underline;"">preserved</span>' lighthouse in the world</span>!</p>
<p>Paul and Luke changed ships at <a target=""_blank"" href=""go.asp?s=189"">Patara</a> as they traveled to Jerusalem at the end of Paul's third journey (Acts 21:1-3).&nbsp; The lighthouse may have been recently constructed and/or under construction at that time!<br /></p>
<p>To view a map and descriptive comments on Patara, and 27 images(!), <a target=""_blank"" href=""go.asp?s=189"">Click Here</a>.</p>",False,"TWTQPTLH02, TWTQPTLH04, TWTQPTLH07"
83,GSPLCO06,239,Corinth Site,,"<p>Corinth was situated in the northeastern corner of the Peloponnese &mdash; very near the narrow land bridge (isthmus) that connected the Peloponnese to the mainland of Greece.</p>

<p>The Greek city of Corinth had been (partially) destroyed by the Romans in 146 B.C., but the rebuilding process, as a Roman city, had begun by 44 B.C. In Paul&#39;s day there may have been 200,000 people living there.</p>

<p>Paul spent 18 months here on his second journey and maybe three months on his third.</p>
",False,"GSPLCONW01, GSPLCO06, GSPLCO07"
84,ICHMMG08,440,Mount Gerizim,,"<p>To the south of the modern city of Nablus (OT Shechem) is located Mount Gerizim&mdash;a mountain that is holy to the Samaritans.</p>
<p>Above is the well-preserved stair case that leads up to the &quot;Sacred Area&quot; on Mt. Gerizim.</p>
<p>There, the Samaritans built a series temples to worship God.&nbsp; Today the community is very small&mdash;less than 700 persons&mdash;but they still participate in ancient rituals (especially notable is their Passover celebration in the spring of the year).</p>",False,"ICHMMG07, ICHMMG08, ICHMMG02, ICHMMG20"
85,ICSHQE06,434,Kh. Qeiyafa,,"<p>Khirbet Qeiyafa is a site located in the Shephelah, about 1 mi. east of Azekah and about 14 mi. northwest of Hebron.&nbsp; It overlooks the Elah valley from the north.&nbsp; The site has been excavated by Yosef Garfinkel and Saar Ganor 2007-2009. <br /><br />It is an early Iron II site, that they say dates to the first half of the tenth century B.C. &mdash; the days of the biblical character David.<br /><br />The site has been much in the news recently for here in the Valley of Elah David fought Goliath (1 Samuel 17) and because of the massive city wall and gate and ostracon that was found here.</p>",False,
86,INSGAR04,445,Arbel Cliffs,,"<p>The majestic Arbel Cliffs are situated on the southern side of the Plain of Ginnosar on the northwestern shore of the Sea of Galilee.&nbsp; They rise to an elevation of 594 ft. [181 m.] above sea level and 1283 ft. [390 m.] above the level of the lake.<br />
<br />
From there, the whole northern shore of the lake is visible&mdash;as are many other places!</p>
",False,"INSGAR11, INSGAR07, INSGAR02, INSGAR04"
87,INUGKD01,448,Kedesh,,"<p>Tel Kedesh in Upper Galilee is a large site of 20 acres [8 ha.] that was inhabited for hundreds of years.&nbsp; It is currently (2009) under excavation.<br /><br />The best preserved pagan temple in Israel, from the Roman Period, is located there.</p>",False,"INUGKD01, INUGKD03, INUGKD07"
88,IJNTWW10,52,Western Wall Excavations,,"<p>This area along the southern portion of the western wall of the Temple Mount (Haram esh-Sharif) wall have revealed <a href=""go.asp?img=IJNTWW13&amp;SiteID=38"">Robinson&#39;s Arch</a>, the <a href=""go.asp?img=IJNTWW26"">street level and shops</a> from the days of Jesus,&nbsp;<a href=""go.asp?img=IJNTWW10"">piles of rubble from the Roman&nbsp;destruction</a>&nbsp;of the Temple in A.D. 70, and an <a href=""go.asp?img=IJNTWW17"">important Hebrew inscription</a>.</p>

<p>Benjamin Mazar began the excavations in this area in the late 1960&#39;s. Ronny Reich and Yaacov Billig have continued his work in recent years.</p>
",False,"IJNTWW10, IJNTWW15, IJNTWW11, IJNTWW26"
89,,376,Main Church,,,False,
90,ICSHBS21,462,Beth Shemesh,,"<p>
	Beth Shemesh is located 12 mi. [20 km.] west of Jerusalem in the Shephelah.&nbsp; It was situated in the buffer zone between the Philistine Plain to the west and the Hill Country of Judah to the east.<br />
	<br />
	According to the biblical text it was on the border of the tribe of Judah (Josh 15:8&ndash;12) but allotted to the tribe of Dan (Josh 19:40&ndash;48).&nbsp; The Sorek Valley is associated with the stories of Samson and it was to Beth Shemesh that the ark of the covenant was returned by the Philistines (1 Samuel 6).&nbsp; It was in one of the districts of Solomon (1 Kings 4:9) and it was here that Joash (king of Israel) defeated Amaziah (king of Judah).</p>
<p>
	Here a unique, large, <a href=""go.asp?img=ICSHBS13"" target=""_blank"">underground cistern</a> was found.</p>
",False,"ICSHBS20, ICSHBS24, ICSHBS30, ICSHBS11"
91,IJNTMLMM05,454,Church of Mary Magdalene,,"<p>
	The Church of Saint Mary Magdalene is located on the western slope of the Mount of Olives, between the Catholic Garden of Gethsemane and Dominus Flevit.<br />
	<br />
	It is a (white) Russian Orthodox Church built by the Czar Alexander III in 1888.&nbsp; The church was dedicated to Alexander&#39;s mother, Maria, but is named after Saint Mary Magdalene who was a follower of Jesus and is associated with anointing his body.&nbsp; She was at the foot of the cross (John 19:25), and Jesus first appeared to her after his resurrection (John 20:1).</p>
",False,"IJNTMLMM06, IJNTMLMM05, IJNTMLMM07"
92,IJNTMLDF05,452,Dominus Flevit,,"<p>
	This church was designed by Antonio Barluzzi and was constructed in the 1950&#39;s.&nbsp; The roof of the church is designed to resemble a &quot;tear drop&quot; &mdash; as the church commemorates Jesus weeping over the city of Jerusalem (Luke 19:41&ndash;44).&nbsp; On each of the four corners of the church are large representations of small glass vessels which were used to catch the tears of mourners in the first century A.D.</p>
",False,"IJNTMLDF35, IJNTMLDF01, IJNTMLDF21, IJNTMLDF16"
93,TCSCEP02,450,Eflatunpinar,,"<p>
	Eflatunpinar is located about 50 mi. [80 km.] due west of Konya (classical/biblical Iconium).</p>
<p>
	At Eflatunpinar (Eflaltun Pinar) there is a spring and a very well&ndash;preserved Hittite monument that seems to date to the second half of the thirteenth century B.C.&mdash;to the reign of the Hittite king Tudhaliya IV (ca. 1259-1229 B.C.; about the time of the Israelite conquest of Canaan).</p>
",False,"TCSCEP02, TCSCEP01, TCSCEP13"
95,,455,Palm Sunday Procession,,"<p>
	Palm Sunday, the day of Jesus&#39; &quot;Triumphal&quot; Entry to Jerusalem, is commemorated by local (predominantly Christian Arabs) and non&ndash;local Christians by processing over the Mount of Olives into the Old City (<a href=""go.asp?img=IJNTGW02"" target=""_blank"">Lion&#39;s Gate</a>) of Jerusalem (Matt 21:1&ndash;11; 14&ndash;17; Mark 11:1&ndash;11; Luke 19:29&ndash;44; John 12:12&ndash;19).<br />
	<br />
	Many local (Arab Christian) &quot;scout troops&quot; and foreign visitors to Israel participate in this procession.</p>
",False,
96,,239,Corinth Site,,"<p>
	The Greek city of Corinth had been destroyed by the Romans in 146 B.C., but the rebuilding process had begun by 44 B.C. Its two harbors were Lechaion (Gulf of Corinth) and <a href=""go.asp?s=251"" target=""_blank"">Cenchreae</a> (Saronic Gulf).</p>
<p>
	Paul spent 18 months here on his second journey and maybe three months on his third. The letters of first and second Corinthians were written to the church here, and Paul probably wrote first and second Thessalonians and Romans while in Corinth.</p>
",False,"GSPLCO06, GSPLCO55, GSPLCO19, GSPLCO11, GSPLCO09"
97,,54,Southern Wall Excavations,,"<p>
	South of the Temple Mount many exciting discoveries have been made &mdash; especially those from the New Testament (Second Temple) Period. Included among them are a <a href=""go.asp?img=IJNTMZ02&amp;SiteID=45"">monumental staircase</a> that led into the temple precinct, a large number of <a href=""go.asp?img=IJNTSW07&amp;SiteID=45"">ritual baths</a> (miqvaoth), cisterns, and investigations of the <a href=""go.asp?img=IJNTSW02&amp;SiteID=45"">double</a> and <a href=""go.asp?img=IJNTSW05&amp;SiteID=45"">triple gates</a></p>
",False,"IJNTMZ02, IJNTSW01, IJNTSW05, IJNTSW08, IJOTEMG10"
98,,468,Synagogue,,"<p>
	<strong><em><u>SEPPHORIS</u></em></strong> In 1993, while doing construction work on the north side of the site of <strong>Sepphoris</strong>, workmen discovered the remains of a <strong>synagogue</strong> that dates to the fifth century AD.</p>
<p>
	Although the walls of the synagogue had been destroyed, its mosaic floor was quite well preserved.&nbsp; The main part of this floor consists of seven panels that include scenes from the life of Abraham and Sarah, a Zodiac(!), representations from the temple, the life of Aaron, and objects associated with the synagogue.</p>
",False,
99,,37,Capernaum,,"<p>
	Capernaum is mentioned 16 times in the New Testament. It served as Jesus&rsquo; &quot;headquarters&quot; during his public ministry. Several disciples were from Capernaum and many miracles were performed here. It was a fishing village with a tollbooth and a <a href=""go.asp?img=INSGCP02&amp;SiteID=4"">synagogue</a>. Indeed, it was large enough to be the residence of a public official and a Roman centurion.</p>
",False,"INSGCPNW10, INSGCP08, INSGCP03, INSGCP09"
100,,439,Sychar/Jacob's Well,,"<p>
	Just to the east northeast of the city of Nablus is the suburb of Askar (New Testament Sychar).&nbsp; Here the Greek Orthodox purchased the ruins of churches that preserved the memory of Jesus&#39; meeting with the Samaritan Woman at the Well (John 4).<br />
	<br />
	The construction of the new church was halted after only portions of the exterior walls were constructed.&nbsp; After lying dormant for over 80 years the church was completed in 2007.</p>
",False,"ICHMSY16, ICHMSY04, ICHMSY21"
