section_ID,section_Parent_ID,section_Title,section_Text,section_Map_X,section_Map_Y,section_DateAdded,section_LastModified,section_SortOrder,section_Type_ID,section_Level,section_Image,section_Keywords,section_Notes,section_Old_ID,section_Old_Parent_ID
11,4,Greece South,"<p>We will be adding many more images from Greece.&nbsp;&nbsp;<a href=""register.asp"" target=""_blank"">Register here</a> to keep informed of updates.</p>

<p>To-date we have images from&nbsp;<a href=""browse.asp?SiteID=67"" target=""_blank"">Corinth</a>&nbsp;(11 images), &nbsp;the <a href=""browse.asp?SiteID=69"" target=""_blank"">Vicinity of Corinth</a>&nbsp;(13 images), and&nbsp;<a href=""thumbs.asp?SiteID=88"">artifacts from Corinth</a> (13 images).</p>
",,,,,2,3,,South.jpg,"South, Greece, Peloponnese, Up Date, Athens Map Maps",,20,18
12,4,Greek Islands,"<p>Our &quot;Greek Island&quot; entries include the <a href=""browse.asp?ImageID=GISGEG03&amp;SiteID=72"">Temple of Aphaia</a> on the island of Aegina which is located in the Saronic Gulf; on the island of Crete: <a href=""go.asp?s=231"" target=""_blank"">Knossos</a>, <a href=""go.asp?s=230"" target=""_blank"">Gortyna</a>, and <a href=""go.asp?s=229"" target=""_blank"">Fair Havens</a>; and in the Dodecanese a variety of images from the Island of Patmos (<a href=""go.asp?s=369"" target=""_blank"">views</a>, <a href=""go.asp?s=370"" target=""_blank"">the harbor</a>, the <a href=""go.asp?s=371"" target=""_blank"">Monastery of St. John</a>, and the <a href=""go.asp?s=368"" target=""_blank"">acropolis</a> [Kastille]).</p>
",,,,,3,3,,12_IslandsMap.jpg,"Islands, Greece, Saronic Gulf,Crete",,21,18
13,4,Greece North,"<p>Please click on Macedonia (left column) there you will find images from <a href=""go.asp?s=119"" target=""_blank"">Neapolis</a>&nbsp;(Kavala),&nbsp;<a href=""go.asp?s=329"" target=""_blank"">Philippi</a>,&nbsp;<a href=""browse.asp?SiteID=118"">Amphipolis</a>, the&nbsp;<a href=""browse.asp?SiteID=117"" target=""_blank"">Via Egnatia</a> (road),&nbsp;<a href=""go.asp?s=283"" target=""_blank"">Thessalonica</a> (Thessaloniki),&nbsp;and &nbsp;<a href=""browse.asp?SiteID=109"" target=""_blank"">Berea</a> (Verria) - all cities mentioned in the New Testament.</p>
",,,,,1,3,,MacedoniaMap031.jpg,"North, Macedonia Map Maps",,22,18
14,5,Sea of Galilee 19 folders,"<p>A brief introduction to the&nbsp;Sea of Galilee&nbsp;follows</p>

<p>The Sea of Galilee is a large freshwater lake located in the Rift Valley in northern Israel. The Jordan River flows into its north end and out of its southern end. Its surface is about 700 ft. [214 m.] below sea level, and it is about 144 ft. [44 m.] deep. It is 13 mi. [21 km.] long and 7.5 mi. [12 km.] wide, with about 30 mi. [ 48 km.] of shoreline. It has a very temperate climate, and is very hot and muggy during the summer months.</p>

<p>It is also called the &quot;Sea of Kinnereth,&quot; the &quot;Sea of Tiberias,&quot; &quot;Lake Gennesaret,&quot; and most commonly (in the Gospels) &quot;the lake.&quot; Much of Jesus&#39; public ministry took place along its northwestern and northeastern shores in cities such as Capernaum, Bethsaida, and the surrounding countryside.</p>

<p>For a geographical description of this region see Carl Rasmussen, <em>The Zondervan NIV Atlas of the Bible</em>&nbsp; (Grand Rapids, MI: Zondervan, 1989),&nbsp;pp. 34-35.&nbsp; To view for&nbsp;purchase <a href=""http://www.amazon.com/exec/obidos/ASIN/0310251605/holylandphoto-20"" target=""_blank"">Click Here</a>.</p>
",,,,,,3,,SeaGalileeMap2.jpg,Sea of Galilee Map,,7,1
15,6,Hill Country of Judah,<P>Click on the left navigation column to visit.</P>,,,,,6,3,,HCJudah.jpg,Hill Country of Judah Map Maps,,8,3
16,6,Sharon Plain (12 folders),"<p>
	The Sharon Plain is bounded by the Yarkon River in the south and the Nahal Tanninim (Crocodile River) on the north.&nbsp; It is 30 mi. [48 km.] from north to south and 10 mi. [16 km.] wide.&nbsp;&nbsp; Because of three parallel north&ndash;south <a href=""go.asp?img=ICSPVS01"" target=""_blank"">kurkar</a> (fossilized dune sandstone) ridges the wadis from the hill country of Manasseh have difficulty flowing into the Mediterranean Sea and thus in the Old Testament period, the plain was mainly swamp land.<br />
	<br />
	During the Roman Period the swamps were drained and Herod the Great built, almost from scratch, the city of <a href=""go.asp?s=288"">Caesarea</a>.</p>
",,,,,3,3,,16_SharonPlain01.jpg,"Sharon Plain, Caesarea Map Maps",,25,3
17,6,Jordan Valley,"<p>This region is part of the Rift Valley system and stretches from the south end of the Sea of Galilee to the north end of the Dead Sea (Salt Sea).&nbsp; Technically it is the &quot;Lower Jordan Valley&quot; in contrast to the &quot;Upper Jordan Valley&quot; that flows <em>into</em> the Sea of Galilee from the north.</p>
",,,,,2,3,,JerichoOT.jpg,"Jordan Valley, Jericho, Lower Jordan River Map Maps",,26,3
18,5,Golan (4 folders),"<p>
	More images to come in the future.</p>
<p>
	Click on the left navigation column.</p>
<p>
	This area of the country receives over 40 inches of rain per year and is a major water source for the Upper Jordan River and the Sea of Galilee.</p>
<p>
	For a geographical description of this region see Carl Rasmussen, <span class=""Blue"">The <em>Zondervan Atlas of the Bible</em>&nbsp;</span> (Grand Rapids, MI: Zondervan, 1989),&nbsp;pp. 33-35.&nbsp; To view for&nbsp;purchase <a href=""http://www.amazon.com/exec/obidos/ASIN/0310251605/holylandphoto-20"" target=""_blank"">Click Here</a>.</p>
",,,,,,3,,GolanHeightsMap2.jpg,Golan Heights Map Maps,,27,1
19,6,Jerusalem (65 folders!),"<p>Because of its importance, Jerusalem has its own special section in the archive.&nbsp;</p>

<hr />
<p>Please see the listing to the left for those sites in Jerusalem that are currently available.</p>
",,,,,1,3,,JerusalemMap2.jpg,Jerusalem Map Maps,,28,3
20,7,Northern Aegean,"<p>The Northern Aegean region will include at least the following sites: <a href=""/browse.asp?SiteID=58"">Alexandria Troas</a>, <a href=""/browse.asp?ImageID=TWNAAS02&amp;SiteID=46"">Assos</a>, Bin Tepe,&nbsp;<a href=""/browse.asp?SiteID=104"">Pergamum</a>, <a href=""/browse.asp?SiteID=74"">Philadelphia</a>, <a href=""/browse.asp?SiteID=76"">Sardis</a>, <a href=""/browse.asp?SiteID=75"">Thyatira</a>, <a href=""go.asp?s=548"" target=""_blank"">Antandros</a>, and Troy.</p>
",,,,,1,3,,WesternTurkeyMap3.jpg,"Northern Aegean, Assos, Alexandria Troas, Philadelphia, Thyatira, Sardis, Pergamum Map Maps",,31,16
21,8,South Central Turkey 11 folders,"<p>
	Sites to eventually be included in this category include at least the following:&nbsp; <a href=""go.asp?s=569"" target=""_blank"">Adada</a>, Cappadocia, <a href=""go.asp?s=56"" target=""_blank"">Derbe</a>, <a href=""/browse.asp?SiteID=49"">Iconium (Konya)</a>, Kremna, <a href=""/browse.asp?SiteID=48"">Lystra</a>, <a href=""/browse.asp?SiteID=53"">Pisidian Antioch</a>, and <a href=""go.asp?s=571"">Sagalossos</a>.</p>
",,,,,1,3,,21_MedCoast02.jpg,"South, Central, Turkey, Derbe, Lystra, Iconium, Konya, Pisidian Antioch, Map Maps",,32,17
22,8,Mediterranean Coast,"<p>The region called the Mediterranean Coast in this web site includes the area of Turkey's southern coast stretching from Antalya (Attalia) on the west to Antakya (Antioch) in the east. The basic outline of the coast &mdash; not making allowances for every bay (and there are many) along the way &mdash; is over 420 mi. [670 km.] long. The Plain of Pamphylia is on its western end, the Taurus mountains in the central portion &mdash; coming right down to the shore of the sea, and the plain of Cilicia is located on its east end.</p>
<p>At this point it is anticipated that at least the following sites will eventually be included: Termessos, <a href=""go.asp?s=347"" target=""_blank"">Antalya</a>, <a href=""/browse.asp?SiteID=52"" target=""_blank"">Perge</a>, <a href=""/browse.asp?SiteID=54"" target=""_blank"">Aspendos</a>, <a href=""/browse.asp?SiteID=62"" target=""_blank"">Tarsus</a>, the <a href=""/browse.asp?SiteID=63"" target=""_blank"">Cilician Gates</a>, and <a href=""go.asp?s=344"" target=""_blank"">Antioch on the Orontes</a>.</p>",,,,,2,3,,22_MedCoast.jpg,"Mediterranean, Coast, Perge, Aspendos, Tarsus, Map Maps",,33,17
23,7,Central & Southern Aegean,"<p>Sites to eventually be included in this category include at least the following: <a href=""go.asp?s=184"" target=""_blank"">Andriake</a>, <a href=""go.asp?s=3721"" target=""_blank"">Aphrodisias</a>, Bodrum, <a href=""/browse.asp?SiteID=55"">Colossae</a>, <a href=""/browse.asp?SiteID=71"">Didyma</a>, <a href=""/browse.asp?SiteID=82"">Ephesus</a>,&nbsp;<a href=""/browse.asp?SiteID=83"">Ephesus Artifacts</a>, <a href=""/browse.asp?SiteID=73"" target=""_blank"">Euromos</a>,&nbsp;<a href=""go.asp?s=192"">Hierapolis</a> , <a href=""go.asp?s=459"" target=""_blank"">Knidos</a>, Labranda,&nbsp;<a href=""/browse.asp?SiteID=100"">Laodicea</a>, <a href=""go.asp?s=587"" target=""_blank"">Letoon</a>, <a href=""go.asp?s=3751"" target=""_blank"">Magnesia on the Meander</a>,&nbsp;<a href=""/browse.asp?SiteID=108"">Miletus</a>,&nbsp;<a href=""go.asp?s=185"">Myra</a>,&nbsp;<a href=""go.asp?s=189"">Patara</a> , <a href=""go.asp?s=191"" target=""_blank"">Phaselis</a>,&nbsp;<a href=""/browse.asp?SiteID=74"" target=""_blank"">Philadelphia</a>,&nbsp;<a href=""go.asp?s=133"">Priene</a> ,&nbsp;<a href=""/browse.asp?SiteID=99"">Smyrna/Izmir</a>,&nbsp;<a href=""/browse.asp?SiteID=101"">Smyrna Artifacts</a>, Stratonikya, and&nbsp;<a href=""go.asp?s=190"">Xanthos</a> .</p>
",,,,,2,3,,AegeanSCMap2.jpg,"Central, Southern, Aegean, Colossae, Didyma, Euromos, Ephesus, Smyrna, Laodicea, Miletus, Priene Map Maps",,34,16
24,5,Jezreel Valley (5 folders),"<p>For a geographical description of the Jezreel Valley see Carl Rasmussen, <em>The Zondervan NIV Atlas of the Bible</em>&nbsp; (Grand Rapids, MI: Zondervan, 1989),&nbsp;pp. 36.&nbsp; To view for&nbsp;purchase <a href=""http://www.amazon.com/exec/obidos/ASIN/0310270502/holylandphoto-20"" target=""_blank"">Click Here</a>.</p>
",,,,,0,3,,JezreelValleyMap2.jpg,Jezreel Valley Map Maps,,35,1
25,9,Biblical Negev,"<p>
	<style type=""text/css"">
@font-face {  font-family: ""Cambria"";}p.MsoNormal, li.MsoNormal, div.MsoNormal { margin: 0in 0in 10pt; font-size: 12pt; font-family: ""Times New Roman""; }p.Carl2, li.Carl2, div.Carl2 { margin: 0in 0in 0.0001pt 0.5in; text-indent: -0.5in; font-size: 12pt; font-family: ""Times New Roman""; color: black; }div.Section1 { page: Section1; }	</style>
</p>
<p class=""Carl2"" style=""margin-left: 0in; text-indent: 0in;"">
	The Hebrew term Negev is used 110 times in the Hebrew Bible, and its basic meaning can be either &ldquo;dry&rdquo; or &ldquo;south.&rdquo;</p>
<p class=""Carl2"" style=""margin-left: 0in; text-indent: 0in;"">
	&nbsp;</p>
<p class=""Carl2"" style=""margin-left: 0in; text-indent: 0in;"">
	In the biblical text the Negev, as a regional-geographical term, refers to a limited strip of land extending 10 miles north and 10 miles south of Beersheba and running east to west from the mountain ridge overlooking the Rift Valley to near the dunes along the Mediterranean Sea.</p>
<p class=""Carl2"" style=""margin-left: 0in; text-indent: 0in;"">
	&nbsp;</p>
<p class=""Carl2"" style=""margin-left: 0in; text-indent: 0in;"">
	Topographically, the biblical Negev can be visualized as a double basin in the shape of an hourglass placed on its side, with Beersheba at the &ldquo;waist&rdquo; of the glass. To the north, east, and south of both basins is higher ground. The eastern basin, the administrative center of which was Arad, is drained by Nahal Beersheba, which flows west past Beersheba into the western basin, where it joins the Nahal Besor.</p>
<p class=""Carl2"" style=""margin-left: 0in; text-indent: 0in;"">
	&nbsp;</p>
<p class=""Carl2"" style=""margin-left: 0in; text-indent: 0in;"">
	The biblical Negev is a transition zone that receives only 8 to 12 inches of rain annually. If the norm is reached, wheat and barley can be grown, but in only one of every three or four years is an adequate crop harvested.</p>
<p class=""Carl2"" style=""margin-left: 0in; text-indent: 0in;"">
	&nbsp;</p>
<p class=""Carl2"" style=""margin-left: 0in; text-indent: 0in;"">
	For additional information on the Biblical Negev see Carl Rasmussen <em>Zondervan Atlas of the Bible</em>, pp. 54-55.&nbsp; <a href=""http://www.amazon.com/exec/obidos/ASIN/0310270502/holylandphoto-20"" target=""_blank"">Click Here</a> to view.</p>
",,,,,0,3,,BiblicalNegevMap3.jpg,"Negev, Arad, Beersheba, Rehoboth Map Maps",,36,18
27,6,Shephelah,"<p>
	The term &quot;Shephelah&quot; means the &quot;lowland&quot; and appears in the Hebrew Bible 20 times. It is a long rectangular area of soft limestone (Eocene) stretching from Gezer in the north to just north of Beersheba in the south. It is about 27 mi. [43 km.] long and 10 mi [16 km.] wide. In a sense, it is the area of foothills that separate the Philistine Plain to the west from the Hill Country of Judah to the east &mdash; a &quot;buffer zone.&quot;</p>
<p>
	See the <a href=""http://www.amazon.com/exec/obidos/ASIN/0310270502/holylandphoto-20"" target=""_blank""><em>Zondervan Atlas of the Bible</em></a> pp. 52-54 for a detailed description of the Shephelah.</p>
",,,,,7,3,,Shephelah.jpg,Shephelah Map Maps,,38,3
28,11,Peloponnese,"<p>The Peloponnese is the southern most tip of the Balkan Peninsula.&#160; It is connected to the Greek mainland by a narrow isthmus that was transversed in ancient times by the diolkos and in modern times is cut through by the Corinthian Canal.</p>

<p>It is very mountainous-the highest elevation reaching to 7,800 ft. [2,378 m.].&#160; Because of the mountains, it has always been difficult to unite this area under a central authority and a variety of ""city states"" developed at various times.</p>

<p>See the left sidebar for&#160;the current&#160;selection.</p>
",,,,,0,3,,28_PelopMap040217.jpg,"Peloponnese, Corinth, Nemea, Olympia, Greece, Map Maps",,39,20
29,5,Huleh Valley,"<p>&nbsp;The Huleh Valley is located in the Rift Valley in northern Israel.&nbsp; It is 20 mi. [32 km.] by 5 mi. [8 km.] and receives about 24 in [600 mm.] of rain each year.&nbsp; The Jordan flows through the valley, but its course was impeded by a basalt outflow just north of the Sea of Galilee.&nbsp; Because of this, the Huleh was a swampy area up until it was drained by the Israelis in the 1950&#39;s.&nbsp; In ancient times it was called &quot;Lake Semechonitis.&quot;</p>

<p>Routes and settlements - such as <a href=""go.asp?s=103"" target=""_blank"">Hazor</a> and&nbsp;<a href=""/browse.asp?SiteID=70"" target=""_blank"">Dan</a> - tended to be along the higher edges of the valley.</p>

<p>For a geographical description of this region see Carl Rasmussen, <em>The Zondervan NIV Atlas of the Bible</em>&nbsp; (Grand Rapids, MI: Zondervan, 1989),&nbsp;pp. 31-32.&nbsp; To view for&nbsp;purchase <a href=""http://www.amazon.com/exec/obidos/ASIN/0310251605/holylandphoto-20"" target=""_blank"">Click Here</a>.</p>
",,,,,0,3,,HulehValleyMap2.jpg,"Huleh Valley Map Maps, Hula, Hulah",,40,1
32,6,Hill Country of Ephraim,&nbsp;,,,,,4,3,,32_Ephraim02.jpg,"Hill Country, Ephraim Map Maps, Add Text, Add Map",,43,3
33,6,Hill Country of Benjamin,"<p>The region of the &quot;Hill Country of Benjamin&quot; approximately coincides with the territory that once belonged to the tribe of Benjamin.&nbsp; It stretches from Bethel in the north to Jerusalem in the south, a distance of 13.5 miles. Its eastern border is the mountain&rsquo;s edge at the Rift Valley, its western boundary the western slopes of the hills descending into the coastal plain. From east to west it averages about 27 miles in width.</p>
",,,,,5,3,,33_Benjamin-Map-01.jpg,"Hill Country, Benjamin, Map Maps",,44,3
